time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-05-05T18:33:10.406Z,-3.3132,130.9749,12.05,6.2,mww,92,30,1.331,0.62,us,us6000mwjd,2024-05-06T18:41:01.928Z,"153 km WSW of Fakfak, Indonesia",earthquake,6.01,3.692,0.046,45,reviewed,us,us
2024-05-05T17:12:55.594Z,-5.9695,-107.0706,10,5.4,mww,71,112,17.556,0.91,us,us6000mwij,2024-05-06T17:17:34.685Z,central East Pacific Rise,earthquake,4.54,1.906,0.066,22,reviewed,us,us
2024-05-05T15:40:22.982Z,-5.8483,146.7643,105.365,5.4,mb,61,40,3.555,0.78,us,us6000mwhz,2024-05-06T15:43:42.605Z,"100 km NNW of Lae, Papua New Guinea",earthquake,8.89,6.663,0.035,288,reviewed,us,us
2024-05-05T14:34:17.167Z,-58.4923,-25.6474,69.994,5.4,mww,37,79,7.345,0.86,us,us6000mwhq,2024-05-06T14:38:18.211Z,South Sandwich Islands region,earthquake,11.51,8.068,0.11,8,reviewed,us,us
2024-05-05T08:58:10.081Z,-5.7715,147.4516,130.507,5.3,mww,103,90,3.621,0.79,us,us6000mxsc,2024-05-16T12:11:48.040Z,"97 km NNW of Finschhafen, Papua New Guinea",earthquake,9.78,5.765,0.062,25,reviewed,us,us
2024-05-05T08:27:46.321Z,52.8483,-163.7635,10,5.2,mww,127,65,1.923,0.68,us,us6000mwfw,2024-05-16T08:37:49.297Z,"195 km SE of Akutan, Alaska",earthquake,7.04,1.853,0.057,30,reviewed,us,us
2024-05-05T07:13:39.631Z,-19.3814,-175.8793,10,5.7,mww,59,67,5.365,0.93,us,us6000mwfi,2024-05-06T14:52:19.285Z,"167 km WNW of Pangai, Tonga",earthquake,8.54,1.798,0.065,23,reviewed,us,us
2024-05-05T06:15:37.971Z,-29.4481,-178.6294,216.068,5.3,mww,77,51,0.644,1.2,us,us6000mwfb,2024-05-15T08:01:46.040Z,"Kermadec Islands, New Zealand",earthquake,11.41,4.614,0.083,14,reviewed,us,us
2024-05-05T05:44:19.589Z,10.8618,141.216,10,5.6,mb,87,72,4.483,1.28,us,us6000mwf5,2024-05-16T05:54:22.897Z,"143 km NNE of Fais, Micronesia",earthquake,7.13,1.859,0.033,334,reviewed,us,us
2024-05-05T04:38:16.533Z,-13.5672,-71.7041,10,5,mb,40,150,4.387,0.84,us,us6000mweu,2024-05-06T02:14:01.756Z,"3 km NNW of Caicay, Peru",earthquake,9.8,1.921,0.052,118,reviewed,us,us
2024-05-04T05:52:35.611Z,-1.1369,-14.245,10,5.4,mww,246,54,12.163,0.51,us,us6000mw9y,2024-05-16T07:16:04.000Z,north of Ascension Island,earthquake,10.09,1.837,0.073,18,reviewed,us,us
2024-05-04T03:17:42.446Z,-14.6509,167.1628,163.865,5.3,mww,62,50,7.452,1.04,us,us6000mw9b,2024-05-04T04:41:54.040Z,"44 km NNE of Port-Olry, Vanuatu",earthquake,10.57,7.072,0.083,14,reviewed,us,us
2024-05-03T22:47:38.613Z,-5.6211,154.2619,148.486,5.1,mww,99,35,6.793,0.52,us,us6000mw86,2024-05-12T05:06:52.040Z,"155 km WNW of Panguna, Papua New Guinea",earthquake,9.11,1.616,0.098,10,reviewed,us,us
2024-05-03T17:49:05.758Z,-55.5224,-26.8189,10,5.1,mb,117,42,5.715,0.57,us,us6000mw61,2024-05-04T13:54:37.040Z,South Sandwich Islands region,earthquake,9.8,1.704,0.061,89,reviewed,us,us
2024-05-03T11:20:29.784Z,-55.8752,-27.7291,122.674,5.1,mb,49,57,5.279,0.55,us,us6000mvz9,2024-05-13T13:31:29.040Z,South Sandwich Islands region,earthquake,11.39,1.425,0.095,36,reviewed,us,us
2024-05-03T10:16:23.201Z,10.8642,125.2955,7.896,5.7,mww,150,40,3.781,0.89,us,us6000mvya,2024-05-05T06:19:20.502Z,"28 km SSW of Balangiga, Philippines",earthquake,8.99,3.638,0.046,45,reviewed,us,us
2024-05-03T03:03:28.801Z,48.8002,-128.743,10,5,mww,70,117,0.91,1.13,us,us6000mvw9,2024-05-16T03:13:33.370Z,"211 km WSW of Tofino, Canada",earthquake,5.23,1.895,0.047,44,reviewed,us,us
2024-05-02T23:37:02.232Z,-33.0859,-179.1077,10,5.1,mb,47,68,3.945,0.56,us,us6000mvv8,2024-05-12T05:14:48.040Z,south of the Kermadec Islands,earthquake,4.67,1.779,0.085,45,reviewed,us,us
2024-05-02T08:02:27.145Z,-55.5137,-26.9201,10,5.2,mb,58,67,5.657,0.61,us,us6000mvnj,2024-05-16T06:00:15.040Z,South Sandwich Islands region,earthquake,4.87,1.903,0.077,56,reviewed,us,us
2024-05-02T07:10:51.400Z,52.0509,-169.3645,18.33,5.4,mww,123,74,0.769,0.79,us,us6000mvmq,2024-05-15T05:39:47.992Z,"104 km SSW of Nikolski, Alaska",earthquake,3.39,4.428,0.058,29,reviewed,us,us
2024-05-02T07:06:25.519Z,51.9797,-169.3393,12.901,5.3,mww,104,134,0.842,0.72,us,us6000mvmm,2024-05-15T04:59:52.040Z,"111 km SSW of Nikolski, Alaska",earthquake,4.99,3.966,0.048,41,reviewed,us,us
2024-05-02T07:01:47.605Z,51.9779,-169.2887,10,5.1,mb,136,182,0.853,0.54,us,us6000mvms,2024-05-15T04:45:27.040Z,"110 km SSW of Nikolski, Alaska",earthquake,5.12,1.871,0.051,124,reviewed,us,us
2024-05-02T06:58:00.553Z,52.1554,-169.4615,13.892,5.5,mww,217,134,0.806,0.65,us,us6000mvmi,2024-05-16T07:08:13.693Z,"96 km SSW of Nikolski, Alaska",earthquake,7.68,3.678,0.04,59,reviewed,us,us
2024-05-02T06:36:31.921Z,-55.8567,-27.01,12.416,5.3,mwb,116,68,5.669,0.72,us,us6000mvmb,2024-05-12T06:55:22.550Z,South Sandwich Islands region,earthquake,11.08,4.25,0.068,21,reviewed,us,us
2024-05-02T05:53:52.974Z,-55.6383,-27.089,34.778,5,mb,36,71,5.583,0.9,us,us6000mvm5,2024-05-12T05:58:30.040Z,South Sandwich Islands region,earthquake,12.35,6.754,0.097,34,reviewed,us,us
2024-05-02T02:16:10.012Z,-13.5455,-72.4745,10,5.1,mb,68,99,4.533,0.88,us,us6000mvky,2024-05-05T05:21:30.138Z,"27 km WNW of Chinchaypujio, Peru",earthquake,9.81,1.871,0.036,248,reviewed,us,us
2024-05-01T23:45:25.963Z,-5.8008,151.037,29,5.9,mww,117,26,5.252,1.06,us,us6000mvk5,2024-05-02T23:50:09.710Z,"103 km ESE of Kimbe, Papua New Guinea",earthquake,8.26,1.81,0.051,37,reviewed,us,us
2024-05-01T21:53:12.908Z,-18.7458,169.2589,229.59,5,mb,53,84,4.205,0.82,us,us6000mvjq,2024-05-01T22:09:07.040Z,"88 km N of Isangel, Vanuatu",earthquake,8.96,8.117,0.093,37,reviewed,us,us
2024-05-01T07:12:54.757Z,-62.2199,-56.2723,10,5,mb,40,81,4.325,1.31,us,us6000mvez,2024-05-01T07:30:22.040Z,South Shetland Islands,earthquake,5.37,1.886,0.084,45,reviewed,us,us
2024-05-01T01:24:50.507Z,-21.4533,-68.9953,101.013,5,mww,106,32,0.411,0.63,us,us6000mvda,2024-05-09T04:11:31.344Z,"80 km WSW of Ollagüe, Chile",earthquake,5.15,3.515,0.059,28,reviewed,us,us
2024-04-30T17:51:10.531Z,13.7994,-58.4107,9.635,5.1,mww,152,41,1.293,0.58,us,us6000mva0,2024-05-08T18:28:25.656Z,"136 km NE of Crane, Barbados",earthquake,8,3.573,0.069,20,reviewed,us,us
2024-04-30T14:30:40.150Z,-55.7382,-27.0225,15.974,5.5,mww,250,16,5.638,0.56,us,us6000mv76,2024-05-01T15:55:17.351Z,South Sandwich Islands region,earthquake,6.83,2.572,0.11,8,reviewed,us,us
2024-04-30T13:52:43.040Z,2.3081,126.7684,35,5.3,mww,233,18,4.876,0.87,us,us6000mv6r,2024-05-01T15:30:11.040Z,"152 km WNW of Tobelo, Indonesia",earthquake,6.71,1.755,0.086,13,reviewed,us,us
2024-04-30T11:24:57.448Z,-24.9769,179.8991,506.99,5.4,mww,113,35,4.671,0.82,us,us6000mv68,2024-05-01T11:27:45.629Z,south of the Fiji Islands,earthquake,10.9,5.008,0.093,11,reviewed,us,us
2024-04-30T07:28:03.546Z,-20.354,-173.276,10,5.1,mb,40,98,1.978,1.45,us,us6000mv4n,2024-04-30T07:45:37.040Z,"127 km ESE of Pangai, Tonga",earthquake,7.58,1.89,0.093,38,reviewed,us,us
2024-04-29T23:42:15.461Z,16.1995,-93.2528,142.555,5.1,mww,76,129,1.075,1.1,us,us6000mv2u,2024-04-30T03:08:42.621Z,"2 km NE of Villa Corzo, Mexico",earthquake,7.79,6.449,0.068,21,reviewed,us,us
2024-04-29T13:33:38.920Z,-14.1367,170.6052,10,5.2,mww,61,50,8.011,0.55,us,us6000muw0,2024-05-08T15:25:11.929Z,Vanuatu region,earthquake,9.54,1.816,0.098,10,reviewed,us,us
2024-04-28T12:55:52.303Z,-21.8501,-176.5972,168.178,5.2,mww,71,61,1.464,0.93,us,us6000mumi,2024-04-28T13:14:24.040Z,"153 km WSW of Houma, Tonga",earthquake,10.04,6.484,0.08,15,reviewed,us,us
2024-04-28T00:37:18.487Z,15.7596,39.7163,10,5,mb,104,119,5.189,0.72,us,us6000muif,2024-04-28T00:53:20.040Z,"30 km ENE of Massawa, Eritrea",earthquake,9.53,1.864,0.058,93,reviewed,us,us
2024-04-27T16:29:50.823Z,-8.0327,107.2749,61.568,6.1,mww,233,18,0.678,0.68,us,us6000muc0,2024-05-10T14:11:38.051Z,"94 km S of Banjar, Indonesia",earthquake,5.92,2.976,0.044,50,reviewed,us,us
2024-04-27T14:36:32.908Z,-19.7101,-175.8112,229.832,5,mb,40,157,1.56,0.78,us,us6000mubd,2024-04-27T14:50:57.040Z,"153 km W of Pangai, Tonga",earthquake,7.61,7.911,0.082,48,reviewed,us,us
2024-04-27T08:35:34.822Z,27.8217,139.577,503.896,6.5,mww,217,24,2.427,0.6,us,us6000mu8k,2024-05-10T07:37:45.920Z,"Bonin Islands, Japan region",earthquake,9.43,3.133,0.035,77,reviewed,us,us
2024-04-27T08:04:24.902Z,-37.1466,78.1288,10,5.1,mww,62,36,0.787,0.55,us,us6000mu8g,2024-05-10T07:01:31.040Z,Mid-Indian Ridge,earthquake,8.12,1.875,0.11,8,reviewed,us,us
2024-04-27T01:44:21.447Z,-36.9042,78.2152,10,5.3,mb,50,70,29.18,0.85,us,us6000mw5b,2024-05-03T23:59:56.040Z,Mid-Indian Ridge,earthquake,12.73,1.876,0.088,44,reviewed,us,us
2024-04-27T01:43:45.735Z,-37.2811,78.0705,10,5.3,mb,51,40,0.651,0.76,us,us6000mu6f,2024-04-27T02:00:32.040Z,Mid-Indian Ridge,earthquake,7.88,1.868,0.085,46,reviewed,us,us
2024-04-26T23:23:13.292Z,-37.1716,78.028,10,5,mb,56,54,0.723,0.5,us,us6000mu5j,2024-05-04T04:06:08.040Z,Mid-Indian Ridge,earthquake,7.83,1.5,0.075,57,reviewed,us,us
